year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,school_id
"2018","450111000270","Coosa Elementary","SC","Beaufort 01","Primary","Regular school","No","32.449635","-80.646814","00270"
"2018","450000800863","Cope Area Career Center","SC","Orangeburg 80","High","Vocational school","No","33.374155","-81.005836","00863"
"2018","450150000273","Corinth Elementary","SC","Cherokee 01","Primary","Regular school","No","35.009051","-81.646175","00273"
"2018","450183000336","Cottageville Elementary","SC","Colleton 01","Primary","Regular school","No","32.941349","-80.472956","00336"
"2018","450381000366","Cotton Belt Elementary","SC","York 01","Primary","Regular school","No","35.008164","-81.258155","00366"
"2018","450354001005","Cowpens Elementary","SC","Spartanburg 03","Primary","Regular school","No","35.026459","-81.818469","01005"
"2018","450354001009","Cowpens Middle","SC","Spartanburg 03","Middle","Regular school","No","35.021215","-81.806513","01009"
"2018","450336001298","Crayton Middle","SC","Richland 01","Middle","Regular school","No","34.017706","-80.974373","01298"
"2018","450390801183","Creek Bridge High","SC","Marion 10","High","Regular school","No","34.039502","-79.333387","01183"
"2018","450084000089","Crescent High","SC","Anderson 03","High","Regular school","No","34.340135","-82.688823","00089"
"2018","450231000503","Crestview Elementary","SC","Greenville 01","Primary","Regular school","No","34.96289","-82.221933","00503"
"2018","450390200217","Crestwood High","SC","Sumter 01","High","Regular school","No","33.972011","-80.305885","00217"
"2018","450117000157","Cross Elementary","SC","Berkeley 01","Primary","Regular school","No","33.30077","-80.167293","00157"
"2018","450117000176","Cross High","SC","Berkeley 01","High","Regular school","No","33.351386","-80.163785","00176"
"2018","450282001169","CrossRoads Intermediate","SC","Lexington 05","Middle","Regular school","No","34.073057","-81.177509","01169"
"2018","450390201058","Crosswell Drive Elementary","SC","Sumter 01","Primary","Regular school","No","33.933598","-80.334347","01058"
"2018","450333000883","Crosswell Elementary","SC","Pickens 01","Primary","Regular school","No","34.850052","-82.526394","00883"
"2018","450384000522","Crowders Creek Elementary","SC","York 02","Primary","Regular school","No","35.105351","-81.092876","00522"
"2018","450390901616","Cyber Academy of South Carolina","SC","Charter Institute at Erskine","Other","Regular school","Yes","34.862059","-82.341686","01616"
"2018","450273001270","Cyril B. Busbee Creative Arts Academy","SC","Lexington 02","Middle","Regular school","No","33.949124","-81.048164","01270"
"2018","450072001191","Cyril B. Busbee Elementary","SC","Aiken 01","Primary","Regular school","No","33.659675","-81.363963","01191"
"2018","450360001023","D. R. Hill Middle","SC","Spartanburg 05","Middle","Regular school","No","34.978168","-82.165207","01023"
"2018","450333000899","D. W. Daniel High","SC","Pickens 01","High","Regular school","No","34.738073","-82.833436","00899"
"2018","450378001371","D.P. Cooper Elementary","SC","Williamsburg 01","Primary","Regular school","No","33.499284","-79.77036","01371"
"2018","450333000884","Dacusville Elementary","SC","Pickens 01","Primary","Regular school","No","34.912726","-82.543818","00884"
"2018","450333000896","Dacusville Middle","SC","Pickens 01","Middle","Regular school","No","34.91508","-82.539396","00896"
"2018","450249000616","Daisy Elementary","SC","Horry 01","Primary","Regular school","No","33.992572","-78.860591","00616"
"2018","450117001472","Daniel Island School","SC","Berkeley 01","Primary","Regular school","No","32.848706","-79.909936","01472"
"2018","450347001056","Daniel Morgan Technology Center","SC","Spartanburg 80","High","Vocational school","No","34.98064","-81.863109","01056"
"2018","450186001498","Darlington County Institute of Technology","SC","Darlington 01","High","Vocational school","No","34.302577","-79.932419","01498"
"2018","450186000095","Darlington High","SC","Darlington 01","High","Regular school","No","34.31832","-79.879369","00095"
"2018","450186000098","Darlington Middle","SC","Darlington 01","Middle","Regular school","No","34.302394","-79.936189","00098"
"2018","450144001667","Deer Park Middle","SC","Charleston 01","Middle","Regular school","No","32.96345","-80.048931","01667"
"2018","450270001627","Deerfield Elementary","SC","Lexington 01","Primary","Regular school","No","33.905669","-81.285878","01627"
"2018","450213000427","Delmae Elementary","SC","Florence 01","Primary","Regular school","No","34.172245","-79.822653","00427"
"2018","450096000122","Denmark Olar High","SC","Bamberg 02","High","Regular school","No","33.327845","-81.12308","00122"
"2018","450096001426","Denmark-Olar Elementary","SC","Bamberg 02","Primary","Regular school","No","33.309268","-81.130167","01426"
"2018","450096000123","Denmark-Olar Middle","SC","Bamberg 02","Middle","Regular school","No","33.302099","-81.143253","00123"
"2018","450267000709","Dennis Elementary","SC","Lee 01","Primary","Regular school","No","34.227473","-80.252753","00709"
