ncessch,per_pupil_state,American Indian or Alaska Native,Asian,Black,Hispanic,Native Hawaiian or other Pacific Islander,Total,Two or more races,Unknown,White,year,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,school_id
510009000029.0,14920.0,1.0,1.0,14.0,31.0,0.0,196.0,14.0,0.0,135.0,2019,RED HILL ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,37.9643,-78.6349,29
510009000029.0,14920.0,1.0,1.0,14.0,31.0,0.0,196.0,14.0,0.0,135.0,2018,RED HILL ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,37.96429,-78.634924,29
510009001882.0,13873.0,0.0,0.0,19.0,19.0,0.0,250.0,16.0,0.0,196.0,2019,SCOTTSVILLE ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,37.8185,-78.5108,1882
510009001882.0,13873.0,0.0,0.0,19.0,19.0,0.0,250.0,16.0,0.0,196.0,2018,SCOTTSVILLE ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,37.818468,-78.510832,1882
510009000032.0,11612.0,0.0,20.0,42.0,35.0,2.0,433.0,23.0,0.0,311.0,2019,STONE ROBINSON ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.0106,-78.397,32
510009000032.0,11612.0,0.0,20.0,42.0,35.0,2.0,433.0,23.0,0.0,311.0,2018,STONE ROBINSON ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.010629,-78.396997,32
510009000033.0,13335.0,0.0,5.0,26.0,30.0,0.0,239.0,20.0,0.0,158.0,2019,STONY POINT ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.112,-78.3696,33
510009000033.0,13335.0,0.0,5.0,26.0,30.0,0.0,239.0,20.0,0.0,158.0,2018,STONY POINT ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.111976,-78.369576,33
510009000003.0,12461.0,1.0,16.0,11.0,13.0,2.0,270.0,29.0,0.0,198.0,2019,VIRGINIA L MURRAY ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.0581,-78.6131,3
510009000003.0,12461.0,1.0,16.0,11.0,13.0,2.0,270.0,29.0,0.0,198.0,2018,VIRGINIA L MURRAY ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.058067,-78.613115,3
510009000035.0,15318.0,1.0,28.0,22.0,50.0,3.0,1158.0,38.0,0.0,1016.0,2019,WESTERN ALBEMARLE HIGH,VA,ALBEMARLE CO PBLC SCHS,High,Regular school,No,38.0471,-78.7073,35
510009000035.0,15318.0,1.0,28.0,22.0,50.0,3.0,1158.0,38.0,0.0,1016.0,2018,WESTERN ALBEMARLE HIGH,VA,ALBEMARLE CO PBLC SCHS,High,Regular school,No,38.047081,-78.707325,35
510009000036.0,17886.0,0.0,44.0,158.0,120.0,0.0,534.0,41.0,0.0,171.0,2019,WOODBROOK ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.0871,-78.4664,36
510009000036.0,17886.0,0.0,44.0,158.0,120.0,0.0,534.0,41.0,0.0,171.0,2018,WOODBROOK ELEM,VA,ALBEMARLE CO PBLC SCHS,Primary,Regular school,No,38.087137,-78.466422,36
510012000054.0,17739.0,12.0,181.0,1135.0,1615.0,7.0,3985.0,75.0,0.0,960.0,2019,TC WILLIAMS HIGH,VA,ALEXANDRIA CITY PBLC SCHS,High,Regular school,No,38.823544,-77.084667,54
510012000054.0,17739.0,12.0,181.0,1135.0,1615.0,7.0,3985.0,75.0,0.0,960.0,2018,TC WILLIAMS HIGH,VA,ALEXANDRIA CITY PBLC SCHS,High,Regular school,No,38.824023,-77.084541,54
510012000038.0,16820.0,0.0,13.0,64.0,157.0,0.0,554.0,33.0,0.0,287.0,2019,CHARLES BARRETT ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.842,-77.0767,38
510012000038.0,16820.0,0.0,13.0,64.0,157.0,0.0,554.0,33.0,0.0,287.0,2018,CHARLES BARRETT ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.842034,-77.076739,38
510012001826.0,22064.0,1.0,5.0,76.0,268.0,1.0,394.0,1.0,0.0,42.0,2019,CORA KELLY MAGNET ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.8377,-77.0574,1826
510012001826.0,22064.0,1.0,5.0,76.0,268.0,1.0,394.0,1.0,0.0,42.0,2018,CORA KELLY MAGNET ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.83768,-77.057409,1826
510012000039.0,15159.0,0.0,29.0,148.0,157.0,0.0,710.0,47.0,0.0,329.0,2019,DOUGLAS MACARTHUR ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.8155,-77.0824,39
510012000039.0,15159.0,0.0,29.0,148.0,157.0,0.0,710.0,47.0,0.0,329.0,2018,DOUGLAS MACARTHUR ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.815528,-77.082372,39
510012003053.0,18409.0,1.0,48.0,139.0,149.0,6.0,426.0,6.0,0.0,77.0,2019,FERDINAND T. DAY ELEMENTARY,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.831933,-77.123443,3053
510012003053.0,18409.0,1.0,48.0,139.0,149.0,6.0,426.0,6.0,0.0,77.0,2018,FERDINAND T. DAY ELEMENTARY,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.831933,-77.123443,3053
510012003016.0,17781.0,13.0,103.0,498.0,612.0,7.0,1478.0,27.0,0.0,218.0,2019,FRANCIS C. HAMMOND MIDDLE,VA,ALEXANDRIA CITY PBLC SCHS,Middle,Regular school,No,38.82682,-77.110271,3016
510012003016.0,17781.0,13.0,103.0,498.0,612.0,7.0,1478.0,27.0,0.0,218.0,2018,FRANCIS C. HAMMOND MIDDLE,VA,ALEXANDRIA CITY PBLC SCHS,Middle,Regular school,No,38.82682,-77.110271,3016
510012000041.0,17591.0,0.0,4.0,24.0,168.0,0.0,494.0,15.0,0.0,283.0,2019,GEORGE MASON ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.8284,-77.073,41
510012000041.0,17591.0,0.0,4.0,24.0,168.0,0.0,494.0,15.0,0.0,283.0,2018,GEORGE MASON ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.828394,-77.073002,41
510012002999.0,16278.0,0.0,24.0,259.0,537.0,1.0,1504.0,46.0,0.0,637.0,2019,GEORGE WASHINGTON MIDDLE,VA,ALEXANDRIA CITY PBLC SCHS,Middle,Regular school,No,38.81576,-77.055221,2999
510012002999.0,16278.0,0.0,24.0,259.0,537.0,1.0,1504.0,46.0,0.0,637.0,2018,GEORGE WASHINGTON MIDDLE,VA,ALEXANDRIA CITY PBLC SCHS,Middle,Regular school,No,38.81576,-77.055221,2999
510012000043.0,16661.0,2.0,62.0,281.0,269.0,0.0,795.0,14.0,0.0,167.0,2019,JAMES K POLK ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.8221,-77.1163,43
510012000043.0,16661.0,2.0,62.0,281.0,269.0,0.0,795.0,14.0,0.0,167.0,2018,JAMES K POLK ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.822098,-77.116267,43
510012000044.0,17574.0,0.0,22.0,330.0,120.0,1.0,641.0,21.0,0.0,147.0,2019,JEFFERSON-HOUSTON ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.8079,-77.0557,44
510012000044.0,17574.0,0.0,22.0,330.0,120.0,1.0,641.0,21.0,0.0,147.0,2018,JEFFERSON-HOUSTON ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.807899,-77.055657,44
510012000045.0,19426.0,1.0,85.0,199.0,304.0,1.0,744.0,13.0,0.0,141.0,2019,JOHN ADAMS ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.8336,-77.1262,45
510012000045.0,19426.0,1.0,85.0,199.0,304.0,1.0,744.0,13.0,0.0,141.0,2018,JOHN ADAMS ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.833556,-77.126191,45
510012000047.0,17097.0,1.0,12.0,124.0,39.0,4.0,468.0,37.0,0.0,251.0,2019,LYLES-CROUCH ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.7994,-77.0464,47
510012000047.0,17097.0,1.0,12.0,124.0,39.0,4.0,468.0,37.0,0.0,251.0,2018,LYLES-CROUCH ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.799363,-77.046436,47
510012000050.0,15848.0,0.0,6.0,49.0,489.0,0.0,892.0,27.0,0.0,321.0,2019,MOUNT VERNON ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.8282,-77.0598,50
510012000050.0,15848.0,0.0,6.0,49.0,489.0,0.0,892.0,27.0,0.0,321.0,2018,MOUNT VERNON ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.82823,-77.0598,50
510012000048.0,17210.0,0.0,7.0,113.0,25.0,0.0,383.0,21.0,0.0,217.0,2019,MAURY ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.8129,-77.0652,48
510012000048.0,17210.0,0.0,7.0,113.0,25.0,0.0,383.0,21.0,0.0,217.0,2018,MAURY ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.812921,-77.06515,48
510012000052.0,14618.0,2.0,74.0,355.0,244.0,3.0,805.0,30.0,0.0,97.0,2019,PATRICK HENRY ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.8169,-77.1114,52
510012000052.0,14618.0,2.0,74.0,355.0,244.0,3.0,805.0,30.0,0.0,97.0,2018,PATRICK HENRY ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.816871,-77.111424,52
510012002549.0,16671.0,0.0,87.0,303.0,211.0,0.0,834.0,34.0,0.0,199.0,2019,SAMUEL W TUCKER ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.8056,-77.1264,2549
