year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment
"2019","450391000855","Vance-Providence Elementary","SC","Orangeburg","Primary","Regular school","No","248"
"2019","450090000103","Varennes Elementary","SC","Anderson 05","Primary","Regular school","No","344"
"2019","450243000607","Varnville Elementary","SC","Hampton 01","Primary","Regular school","No","273"
"2019","450390901699","Virtus Academy of South Carolina","SC","Charter Institute at Erskine","Primary","Regular school","Yes","302"
"2019","450336000946","W. A. Perry Middle","SC","Richland 01","Middle","Regular school","No","347"
"2019","450144000204","W. B. Goodwin Elementary","SC","Charleston 01","Primary","Regular school","No","481"
"2019","450387001147","W. C. Sullivan Middle","SC","York 03","Middle","Regular school","No","942"
"2019","450207000410","W. E. Parker Elementary","SC","Edgefield 01","Primary","Regular school","No","412"
"2019","450336001299","W. G. Sanders Middle","SC","Richland 01","Middle","Regular school","No","549"
"2019","450336000954","W.J. Keenan High","SC","Richland 01","High","Regular school","No","704"
"2019","450378001094","W.M. Anderson Primary","SC","Williamsburg 01","Primary","Regular school","No","416"
"2019","450249000629","Waccamaw Elementary","SC","Horry 01","Primary","Regular school","No","895"
"2019","450228000480","Waccamaw Elementary","SC","Georgetown 01","Primary","Regular school","No","563"
"2019","450228001440","Waccamaw High","SC","Georgetown 01","High","Regular school","No","855"
"2019","450228001518","Waccamaw Intermediate","SC","Georgetown 01","Middle","Regular school","No","463"
"2019","450228000739","Waccamaw Middle","SC","Georgetown 01","Middle","Regular school","No","401"
"2019","450243000610","Wade Hampton High","SC","Hampton 01","High","Regular school","No","580"
"2019","450231000566","Wade Hampton High","SC","Greenville 01","High","Regular school","No","1790"
"2019","450072000057","Wagener-Sally High","SC","Aiken 01","High","Regular school","No","281"
"2019","450306000834","Walhalla Elementary","SC","Oconee 01","Primary","Regular school","No","599"
"2019","450306000842","Walhalla High","SC","Oconee 01","High","Regular school","No","1177"
"2019","450306001288","Walhalla Middle","SC","Oconee 01","Middle","Regular school","No","847"
"2019","450180000329","Walker-Gamble Elementary","SC","Clarendon 03","Primary","Regular school","No","544"
"2019","450297001433","Wallace Elementary/Middle","SC","Marlboro 01","Primary","Regular school","No","509"
"2019","450213000437","Wallace Gregg Elementary","SC","Florence 01","Primary","Regular school","No","367"
"2019","450144000261","Wando High","SC","Charleston 01","High","Regular school","No","3890"
"2019","450237000598","Ware Shoals Elementary Middle","SC","Greenwood 51","Middle","Regular school","No","286"
"2019","450237000601","Ware Shoals High","SC","Greenwood 51","High","Regular school","No","272"
"2019","450237000599","Ware Shoals Primary","SC","Greenwood 51","Primary","Regular school","No","393"
"2019","450072000040","Warrenville Elementary","SC","Aiken 01","Primary","Regular school","No","361"
"2019","450231000576","Washington Center","SC","Greenville 01","Other","Special education school","No","131"
"2019","450186000365","Washington St. Elementary","SC","Darlington 01","Primary","Regular school","No","196"
"2019","450255000009","Wateree Elementary","SC","Kershaw 01","Primary","Regular school","No","737"
"2019","450000101423","Wateree River High","SC","Dept Of Correction N04","High","Other/alternative school","No","18"
"2019","450261000558","Waterloo Elementary","SC","Laurens 55","Primary","Regular school","No","254"
"2019","450249000901","Waterway Elementary","SC","Horry 01","Primary","Regular school","No","776"
"2019","450336000638","Watkins-Nance Elementary","SC","Richland 01","Primary","Regular school","No","334"
"2019","450336000935","Webber School","SC","Richland 01","Primary","Regular school","No","205"
"2019","450231000536","Welcome Elementary","SC","Greenville 01","Primary","Regular school","No","672"
"2019","450360001021","Wellford Academy of Science and Technology","SC","Spartanburg 05","Primary","Regular school","No","444"
"2019","450144000548","West Ashley High","SC","Charleston 01","High","Regular school","No","1769"
"2019","450144000707","West Ashley Middle","SC","Charleston 01","Middle","Regular school","No","618"
"2019","450333000894","West End Elementary","SC","Pickens 01","Primary","Regular school","No","619"
"2019","450213000443","West Florence High","SC","Florence 01","High","Regular school","No","1712"
"2019","450186000364","West Hartsville Elementary","SC","Darlington 01","Primary","Regular school","No","335"
"2019","450267000712","West Lee Elementary","SC","Lee 01","Primary","Regular school","No","141"
"2019","450090001515","West Market School of Early Education","SC","Anderson 05","Prekindergarten","Regular school","No","200"
"2019","450306001477","West Oak Middle","SC","Oconee 01","Middle","Regular school","No","675"
"2019","450078000070","West Pelzer Elementary","SC","Anderson 01","Primary","Regular school","No","425"
"2019","450363001032","West View Elementary","SC","Spartanburg 06","Primary","Regular school","No","724"
"2019","450306001357","West-Oak High","SC","Oconee 01","High","Regular school","No","799"
"2019","450231000539","Westcliffe Elementary","SC","Greenville 01","Primary","Regular school","No","318"
"2019","450306000835","Westminster Elementary","SC","Oconee 01","Primary","Regular school","No","428"
"2019","450090000113","Westside High","SC","Anderson 05","High","Regular school","No","1664"
"2019","450117000167","Westview Elementary","SC","Berkeley 01","Primary","Regular school","No","550"
"2019","450234000871","Westview Middle","SC","Greenwood 50","Middle","Regular school","No","693"
"2019","450117001210","Westview Middle","SC","Berkeley 01","Middle","Regular school","No","853"
"2019","450117000704","Westview Primary","SC","Berkeley 01","Primary","Regular school","No","713"
"2019","450069001379","Westwood Elementary","SC","Abbeville 60","Primary","Regular school","No","345"
"2019","450339001606","Westwood High","SC","Richland 02","High","Regular school","No","1470"
"2019","450111001550","Whale Branch Early College High","SC","Beaufort 01","High","Regular school","No","450"
"2019","450111000392","Whale Branch Elementary","SC","Beaufort 01","Primary","Regular school","No","451"
"2019","450111000422","Whale Branch Middle","SC","Beaufort 01","Middle","Regular school","No","358"
"2019","450270001429","White Knoll Elementary","SC","Lexington 01","Primary","Regular school","No","707"
"2019","450270000582","White Knoll High","SC","Lexington 01","High","Regular school","No","2005"
"2019","450270000015","White Knoll Middle","SC","Lexington 01","Middle","Regular school","No","825"
