year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment
"2018","370488000413","Edgewood Cmty Developmental","NC","Wayne County Public Schools","Other","Special education school","No","144"
"2018","370492001968","Edgewood Elementary","NC","Whiteville City Schools","Primary","Regular school","No","532"
"2018","370288001161","Edna Andrews Elementary","NC","Martin County Schools","Missing/not reported","Regular school","No",""
"2018","370210000917","Edneyville Elementary","NC","Henderson County Schools","Primary","Regular school","No","443"
"2018","370153000653","Edward Best Elementary","NC","Franklin County Schools","Primary","Regular school","No","548"
"2018","370162002731","Edward D Sadler Jr  Elementary School","NC","Gaston County Schools","Primary","Regular school","No","446"
"2018","370333001371","Edwin A Alderman Elementary","NC","New Hanover County Schools","Primary","Regular school","No","288"
"2018","370192000756","Edwin A Alderman Elementary","NC","Guilford County Schools","Primary","Regular school","No","429"
"2018","370333002822","Edwin A Anderson Elementary","NC","New Hanover County Schools","Primary","Regular school","No","659"
"2018","370003000007","Edwin M Holt Elementary","NC","Alamance-Burlington Schools","Primary","Regular school","No","532"
"2018","370348001445","Efland Cheeks Elementary","NC","Orange County Schools","Primary","Regular school","No","489"
"2018","370309001318","Elise Middle","NC","Moore County Schools","Middle","Regular school","No","240"
"2018","370354001453","Elizabeth City Middle","NC","Elizabeth City-Pasquotank Public Schools","Middle","Regular school","No","626"
"2018","370354003426","Elizabeth City Pasquotank Early College","NC","Elizabeth City-Pasquotank Public Schools","Secondary","Regular school","No","103"
"2018","370297001881","Elizabeth Lane Elem","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","1076"
"2018","370001100403","Elizabeth M Cashwell Elementary","NC","Cumberland County Schools","Primary","Regular school","No","631"
"2018","370297001217","Elizabeth Traditional Elem","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","507"
"2018","370039002618","Elizabethtown Middle","NC","Bladen County Schools","Middle","Regular school","No","416"
"2018","370039000118","Elizabethtown Primary","NC","Bladen County Schools","Primary","Regular school","No","522"
"2018","370138000563","Elkin Elementary","NC","Elkin City Schools","Primary","Regular school","No","660"
"2018","370138000562","Elkin High","NC","Elkin City Schools","High","Regular school","No","351"
"2018","370138002797","Elkin Middle","NC","Elkin City Schools","Middle","Regular school","No","182"
"2018","370408001641","Ellenboro Elementary School","NC","Rutherford County Schools","Primary","Regular school","No","609"
"2018","370009000032","Ellendale Elementary","NC","Alexander County Schools","Primary","Regular school","No","285"
"2018","370387001549","Ellerbe Middle","NC","Richmond County Schools","Middle","Regular school","No","236"
"2018","370502001996","Elm City Middle","NC","Wilson County Schools","Middle","Regular school","No","431"
"2018","370001202140","Elmhurst Elementary","NC","Pitt County Schools","Primary","Regular school","No","387"
